timestamp,cpu_avg_percent,cpu_peak_percent,ram_used_mb,ram_percent,disk_used_mb,disk_growth_mb,gpu_utilization_percent,gpu_memory_used_mb,gpu_temperature_c
2026-07-06T14:50:31+00:00,100.0,100.0,7388.6953125,92.1,456242.25,-2.48046875,,,
2026-07-06T14:50:33+00:00,100.0,100.0,7287.8046875,90.8,456242.2578125,-2.47265625,,,
2026-07-06T14:50:36+00:00,100.0,100.0,7310.05078125,91.1,456242.2578125,-2.47265625,,,
2026-07-06T14:50:38+00:00,96.9,96.9,7427.94140625,92.6,456242.28125,-2.44921875,,,
2026-07-06T14:50:40+00:00,99.4,99.4,7347.24609375,91.5,456242.34375,-2.38671875,,,
2026-07-06T14:50:42+00:00,95.1,95.1,7423.140625,92.5,456242.3671875,-2.36328125,,,
2026-07-06T14:50:44+00:00,99.8,99.8,7345.89453125,91.5,456224.0,-20.73046875,,,
2026-07-06T14:50:46+00:00,100.0,100.0,7388.46875,92.1,456224.07421875,-20.65625,,,
2026-07-06T14:50:48+00:00,90.3,90.3,7315.84375,91.2,456224.08984375,-20.640625,,,
2026-07-06T14:50:50+00:00,84.1,84.1,6939.46484375,86.5,456223.2265625,-21.50390625,,,
2026-07-06T14:50:52+00:00,50.9,50.9,6946.41015625,86.6,456223.171875,-21.55859375,,,
2026-07-06T14:50:54+00:00,43.3,43.3,7056.9765625,87.9,456223.23828125,-21.4921875,,,
2026-07-06T14:50:56+00:00,61.4,61.4,7092.32421875,88.4,456223.49609375,-21.234375,,,
2026-07-06T14:50:58+00:00,62.8,62.8,7068.8828125,88.1,456223.6953125,-21.03515625,,,
2026-07-06T14:51:00+00:00,88.7,88.7,7328.73046875,91.3,456223.78515625,-20.9453125,,,
2026-07-06T14:51:02+00:00,82.8,82.8,7496.984375,93.4,456223.87109375,-20.859375,,,
2026-07-06T14:51:04+00:00,97.2,97.2,7387.4453125,92.0,456223.9453125,-20.78515625,,,
2026-07-06T14:51:06+00:00,75.3,75.3,7352.55078125,91.6,456223.98828125,-20.7421875,,,
2026-07-06T14:51:08+00:00,74.9,74.9,7388.640625,92.1,456226.46875,-18.26171875,,,
